# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
5749000 237.833 -164207 13315.6 232.251 -384908
5750000 237.588 -164204 13402.1 231.547 -384920
5751000 239.033 -164241 13421.5 227.353 -384888
5752000 239.004 -164227 13309.9 230.446 -384917
5753000 235.366 -164054 12915.6 235.194 -384949
5754000 236.934 -164089 12760.7 231.663 -384923
5755000 239.172 -164175 12660 235.048 -384939
5756000 239.05 -164135 12324 233.701 -384951
5757000 239.739 -164195 12071.9 230.439 -384889
5758000 238.079 -164101 11742.5 234.73 -384932
5759000 240.258 -164198 11608.6 236.003 -384944
5760000 243.422 -164336 11561 233.067 -384931
5761000 240.082 -164150 11263.6 232.79 -384922
5762000 239.305 -164125 11142 234.406 -384915
5763000 242.163 -164251 11267.9 235.055 -384912
5764000 240.667 -164185 11263.8 234.502 -384920
5765000 242.454 -164256 11486.4 235.718 -384943
5766000 240.011 -164171 11566.9 233.283 -384901
5767000 240.772 -164238 11840.7 235.015 -384908
5768000 239.701 -164169 12062.2 232.051 -384929
5769000 242.219 -164305 12471.7 230.629 -384902
5770000 240.223 -164231 12649.7 233.199 -384904
5771000 240.305 -164235 12957.6 234.618 -384919
5772000 243.902 -164415 13407.7 233.266 -384928
5773000 241.592 -164286 13360.4 235.818 -384961
5774000 241.461 -164310 13510.9 236.27 -384935
5775000 242.229 -164338 13528.2 231.113 -384890
5776000 242.424 -164355 13533.8 234.21 -384930
5777000 240.601 -164285 13437.2 234.795 -384915
5778000 241.554 -164316 13218.2 233.778 -384929
5779000 241.657 -164302 12992.7 236.894 -384962
5780000 240.58 -164267 12724.5 238.152 -384964
5781000 237.877 -164160 12264.5 237.508 -384942
5782000 241.011 -164338 12138.7 239.192 -384950
5783000 241.379 -164344 11855.4 231.213 -384904
5784000 240.567 -164292 11597 236.12 -384953
5785000 241.309 -164316 11427.3 232.112 -384926
5786000 240.94 -164313 11294.2 233.953 -384924
5787000 240.381 -164260 11196.2 236.007 -384968
5788000 240.188 -164260 11174.1 234.277 -384941
5789000 240.941 -164270 11275.3 233.08 -384953
5790000 241.614 -164275 11422.8 238.581 -385004
5791000 238.316 -164137 11502.9 235.254 -384950
5792000 239.949 -164206 11778.9 233.455 -384940
5793000 238.261 -164145 12007.8 236.935 -384962
5794000 240.88 -164274 12440.1 230.26 -384910
5795000 240.079 -164234 12651.4 232.228 -384934
5796000 239.763 -164218 12923.9 236.75 -384973
5797000 239.41 -164216 13057.7 235.92 -384945
5798000 239.501 -164199 13150.2 234.77 -384945
5799000 239.457 -164239 13340.4 235.704 -384928
5800000 237.282 -164129 13328.9 234.186 -384940
5801000 240.089 -164274 13444.4 235.763 -384935
5802000 239.743 -164277 13334.1 237.111 -384956
5803000 240.792 -164311 13224.1 235.801 -384952
5804000 239.123 -164217 12939 234.922 -384935
5805000 240.304 -164279 12725.9 235.663 -384925
5806000 239.448 -164233 12406.9 232.295 -384905
5807000 240.608 -164276 12173.4 232.488 -384910
5808000 238.808 -164185 11807.5 236.511 -384950
5809000 241.22 -164312 11680.1 231.346 -384883
5810000 239.915 -164209 11387.3 231.83 -384906
5811000 239.557 -164212 11225.6 234.642 -384920
5812000 241.948 -164326 11262 230.26 -384896
5813000 241.311 -164312 11225.9 235.805 -384925
5814000 238.889 -164187 11179.2 238.187 -384967
5815000 241.133 -164300 11416.5 236.479 -384939
5816000 240.421 -164271 11567.6 234.24 -384926
5817000 241.161 -164301 11814 232.503 -384926
5818000 239.23 -164242 12026.7 237.45 -384938
5819000 239.991 -164288 12333.9 235.576 -384935
5820000 239.34 -164287 12662.4 232.387 -384912
5821000 240.835 -164383 13066.9 233.67 -384915
5822000 238.124 -164264 13087 234.853 -384927
5823000 238.96 -164326 13373 230.229 -384894
5824000 238.246 -164320 13420.3 234.534 -384929
5825000 240.36 -164396 13561.4 231.977 -384931
5826000 239.406 -164329 13440.6 231.259 -384922
5827000 240.048 -164333 13257.2 232.796 -384954
5828000 241.263 -164386 13200.3 232.538 -384942
5829000 239.72 -164306 12922.5 233.566 -384942
5830000 240.711 -164351 12651 232.475 -384913
5831000 238.777 -164281 12316.4 234.941 -384916
5832000 240.545 -164348 12128.2 234.986 -384937
5833000 239.586 -164301 11815.5 232.231 -384928
5834000 242.168 -164385 11707.9 232.645 -384937
5835000 241.272 -164360 11435.1 236.22 -384955
5836000 239.231 -164211 11198.5 229.643 -384952
5837000 238.352 -164177 11089.6 232.927 -384969
5838000 236.323 -164086 10996.7 231.103 -384931
5839000 239.402 -164218 11196.4 229.507 -384910
5840000 236.481 -164117 11185.7 229.552 -384896
5841000 239.359 -164255 11515.2 235.154 -384954
5842000 239.537 -164281 11787.4 232.384 -384899
5843000 238.484 -164265 12045.7 235.667 -384925
5844000 240.248 -164365 12402.2 234.217 -384943
5845000 238.479 -164304 12550.4 234.927 -384940
5846000 236.786 -164227 12787.8 235.251 -384952
5847000 238.558 -164295 13031.1 227.936 -384895
5848000 235.452 -164170 13064.9 229.985 -384888
5849000 238.889 -164354 13287.2 232.238 -384904
5850000 237.257 -164320 13316.9 233.94 -384922
5851000 235.93 -164270 13297.1 237.05 -384944
5852000 240.334 -164459 13432.7 232.496 -384935
5853000 238.766 -164372 13176.4 230.345 -384904
5854000 237.906 -164311 12810 232.944 -384938
5855000 238.414 -164347 12542.3 237.299 -384951
5856000 239.183 -164412 12352.5 234.801 -384919
5857000 238.347 -164349 11998.8 231.502 -384918
5858000 237.312 -164295 11711.3 232.759 -384920
5859000 238.46 -164329 11533.8 235.038 -384943
5860000 239.08 -164347 11341 231.914 -384909
5861000 239.724 -164398 11222.9 237.778 -384937
5862000 238.888 -164335 11115.4 232.97 -384925
5863000 240.22 -164398 11178.5 239.341 -384975
5864000 237.953 -164303 11130.8 235.376 -384936
5865000 239.535 -164334 11331 227.77 -384897
5866000 239.94 -164366 11541.3 235.272 -384931
5867000 237.78 -164272 11676.2 233.34 -384913
5868000 239.553 -164348 12045.8 238.595 -384977
5869000 239.164 -164334 12282.7 235.444 -384951
5870000 239.696 -164371 12596 234.234 -384928
5871000 237.882 -164290 12822.1 234.452 -384926
5872000 238.993 -164368 13140.7 238.271 -384960
5873000 239.541 -164400 13355.3 235.819 -384954
5874000 239.811 -164412 13518.3 232.188 -384932
5875000 239.038 -164399 13464.7 234.085 -384920
5876000 240.5 -164460 13468.4 232.313 -384920
5877000 240.723 -164473 13383.4 233.386 -384926
5878000 239.436 -164435 13071.4 235.186 -384927
5879000 237.858 -164362 12761.2 232.612 -384911
5880000 238.622 -164436 12528.3 240.097 -384959
5881000 238.484 -164419 12297.4 236.862 -384955
5882000 238.051 -164399 12050.4 236.086 -384950
5883000 239.153 -164479 11795.6 236.203 -384935
5884000 237.416 -164348 11469.8 235.175 -384965
5885000 240.22 -164487 11383.1 237.638 -384982
5886000 238.528 -164406 11163.2 233.649 -384948
5887000 237.355 -164346 11045.2 235.363 -384964
5888000 234.446 -164228 10908.5 234.947 -384943
5889000 238.505 -164406 11149.7 236.296 -384958
5890000 240.415 -164455 11389.7 230.495 -384935
5891000 237.344 -164359 11442 236.879 -384958
5892000 236.167 -164295 11645.3 230.603 -384926
5893000 236.646 -164343 11882.6 235.509 -384938
5894000 236.239 -164345 12139.6 232.122 -384910
5895000 236.179 -164372 12451.1 238.072 -384962
5896000 238.327 -164456 12797.7 229.967 -384903
5897000 235.665 -164340 12934.4 234.762 -384944
5898000 234.162 -164273 13014.7 234.788 -384947
5899000 235.784 -164342 13205.5 237.694 -384985
5900000 237.041 -164393 13265.5 239.991 -384997
5901000 236.283 -164327 13263.7 233.321 -384938
5902000 236.847 -164341 13163.6 232.587 -384923
5903000 236.36 -164328 13027.9 234.602 -384950
5904000 238.092 -164396 12862.4 231.125 -384916
5905000 239.361 -164465 12693.3 235.944 -384938
5906000 239.618 -164425 12418.4 236.373 -384961
5907000 237.705 -164332 12017.2 231.209 -384897
5908000 238.736 -164368 11791.2 237.151 -384965
5909000 239.46 -164401 11574.7 232.666 -384925
5910000 238.707 -164336 11335.4 228.968 -384894
5911000 238.441 -164335 11185.3 232.665 -384913
5912000 239.08 -164367 11128.8 235.357 -384927
5913000 238.757 -164367 11107.8 234.218 -384907
5914000 243.32 -164603 11389.7 232.768 -384886
5915000 239.244 -164397 11350.1 230.96 -384899
5916000 239.925 -164424 11571.2 231.712 -384921
5917000 241.119 -164468 11861.5 234.684 -384937
5918000 241.791 -164553 12135.4 231.246 -384860
5919000 238.88 -164440 12301.1 234.069 -384900
5920000 240.153 -164508 12669.2 233.043 -384908
5921000 239.842 -164520 13024.2 231.831 -384899
5922000 241.191 -164580 13233.4 235.005 -384949
5923000 240.854 -164582 13389.5 234.093 -384922
5924000 239.522 -164529 13412.3 234.051 -384914
5925000 238.897 -164540 13418.3 237.404 -384930
5926000 237.705 -164486 13318.1 231.419 -384905
5927000 239.067 -164550 13204.2 230.924 -384898
5928000 237.769 -164484 13033.3 231.415 -384898
5929000 238.823 -164519 12876.6 235.271 -384953
5930000 240.203 -164556 12691.7 232.219 -384947
5931000 238.578 -164471 12332.3 229.049 -384895
5932000 238.773 -164445 12031.1 232.452 -384955
5933000 236.492 -164311 11660.2 231.807 -384945
5934000 241.433 -164525 11661.8 234.273 -384955
5935000 238.365 -164417 11296.2 234.257 -384915
5936000 239.845 -164445 11237.7 234.557 -384952
5937000 236.639 -164297 11012.5 232.746 -384927
5938000 239.034 -164370 11123.8 228.21 -384909
5939000 238.143 -164336 11141.9 229.571 -384908
5940000 240.617 -164464 11394.2 233.81 -384936
5941000 241.93 -164526 11638.3 234.588 -384935
5942000 240.444 -164458 11817.4 232.509 -384932
5943000 236.71 -164285 11908.8 236.914 -384980
5944000 238.08 -164361 12226.7 232.157 -384929
5945000 237.001 -164346 12463.9 236.156 -384946
5946000 236.337 -164283 12684.5 235.602 -384960
5947000 237.803 -164353 13023.2 232.056 -384917
5948000 238.191 -164378 13229.3 234.04 -384933
5949000 239.107 -164423 13428.9 233.789 -384938
5950000 237.227 -164362 13382.2 234.467 -384935
5951000 237.476 -164379 13302.7 234.843 -384943
5952000 237.7 -164378 13125.1 232.183 -384923
5953000 237.527 -164354 12952.7 230.06 -384888
5954000 237.146 -164330 12817.8 232.914 -384925
5955000 240.584 -164483 12721.5 232.29 -384908
5956000 237.67 -164293 12299.9 229.411 -384911
5957000 239.285 -164379 12108.7 232.496 -384917
5958000 236.572 -164246 11691.5 234.738 -384931
5959000 237.88 -164284 11494.6 232.004 -384908
5960000 239.278 -164353 11369.8 235.344 -384931
5961000 238.036 -164284 11157.7 236.764 -384950
5962000 240.533 -164367 11201.5 235.025 -384944
5963000 243.73 -164500 11336.7 230.942 -384912
5964000 240.088 -164316 11223.5 235.504 -384937
5965000 239.024 -164238 11326.4 234.158 -384944
5966000 240.111 -164302 11587.1 230.926 -384910
5967000 240.513 -164349 11880.5 237.562 -384957
5968000 239.696 -164337 12088.9 234.442 -384916
5969000 239.068 -164291 12349.8 231.342 -384915
5970000 238.808 -164328 12631.5 238.563 -384950
5971000 240.904 -164434 12965.9 235.125 -384924
5972000 239.477 -164387 13198.8 236.213 -384938
5973000 240.624 -164464 13369.9 233.092 -384925
5974000 242.335 -164539 13468.7 226.885 -384890
5975000 239.992 -164447 13389.6 232.612 -384927
5976000 241.998 -164546 13417.7 234.381 -384942
5977000 240.203 -164494 13261.4 229.74 -384881
5978000 240.265 -164536 13141.9 235.837 -384911
5979000 240.581 -164570 12999.9 234.641 -384899
5980000 241.872 -164617 12833 236.853 -384958
5981000 241.196 -164563 12434 234.095 -384930
5982000 241.508 -164561 12159.9 231.627 -384915
5983000 240.588 -164495 11861.9 236.382 -384972
5984000 240.457 -164492 11607 234.829 -384941
5985000 238.654 -164402 11350.7 231.353 -384900
5986000 237.756 -164336 11169.5 236.621 -384963
5987000 240.468 -164448 11195.1 231.368 -384919
5988000 239.824 -164414 11163.3 232.787 -384932
