y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
9.46928 3.49906 -7.9419e-05 -0.00086135 -0.00134437 5.01756
10.466 3.49906 -0.000562996 -0.000920599 -0.000454578 8.0281
11.4628 3.49906 0.000160732 8.61214e-05 -0.000232454 10.0351
12.4596 3.49906 -9.73325e-05 -0.000674492 0.00051936 11.0386
13.4563 3.49906 -0.000614971 0.000237365 -0.00043115 9.03161
14.4531 3.49906 0.0022397 -0.00145995 0.000969815 8.52986
15.4499 3.49906 -0.00182216 0.000911583 -0.000392289 7.02459
16.4466 3.49906 -0.00127357 0.0010165 0.000133751 5.51932
17.4434 3.49906 -0.000595433 0.000624452 -0.000255639 9.53337
18.4402 3.49906 0.000305248 -0.000172262 0.000295777 5.51932
19.4369 3.49906 0.00197583 1.33572e-05 0.00213788 7.02459
20.4337 3.49906 -0.000536534 0.000644385 -8.39786e-05 14.0492
21.4305 3.49906 -0.000309067 9.98962e-05 -0.00100091 9.03161
22.4272 3.49906 -0.000111087 0.000605096 -0.000250855 9.03161
23.424 3.49906 0.000543193 -0.000232283 -0.000298416 11.5404
24.4208 3.49906 -9.64321e-06 0.000355524 -9.22203e-05 8.0281
25.4175 3.49906 0.000239569 0.000235898 0.000620828 11.0386
26.4143 3.49906 0.000103584 -0.00066162 -0.000403526 8.52986
27.4111 3.49906 0.000875181 -0.00112571 -0.00115667 10.5369
28.4078 3.49906 -0.000530949 0.000136844 -0.0015134 12.5439
29.4046 3.49906 -0.000316568 -0.000563805 0.000750407 11.5404
30.4014 3.49906 -0.00112229 -0.000207144 0.000516851 7.02459
31.3981 3.49906 0.00203948 0.000879223 -0.000356991 7.52634
32.3949 3.49906 -0.000561781 -0.000427873 0.000368913 13.5474
33.3917 3.49906 0.00340427 0.000195839 0.00074647 8.52986
34.3884 3.49906 -0.000523103 -0.000103569 -0.000824288 8.0281
35.3852 3.49906 0.000539816 0.000353814 0.000556356 6.02108
36.382 3.49906 -0.00078816 -0.000500471 -8.68888e-05 9.53337
37.3787 3.49906 -0.000449725 -0.000608266 -0.000172892 12.5439
38.3755 3.49906 0.00026699 0.00030421 -0.000288099 8.52986
39.3723 3.49906 0.000155352 -0.000639376 -0.000137936 8.0281
40.369 3.49906 0.0011265 6.39389e-05 0.000512129 11.5404
41.3658 3.49906 0.000175507 -0.000718337 0.000406078 8.52986
42.3626 3.49906 0.000593782 -0.000552256 -0.000143549 8.52986
43.3593 3.49906 0.000103221 0.00169963 0.000293666 7.02459
44.3561 3.49906 -0.000153697 -0.000106527 -0.000505417 11.0386
45.3529 3.49906 -0.000460647 0.000286004 0.00020233 13.5474
46.3496 3.49906 -0.000234133 0.000522142 0.000931835 12.0422
47.3464 3.49906 -5.47605e-05 0.000631121 -0.000666238 8.0281
48.3432 3.49906 -0.000214025 0.000493897 -0.000873209 10.5369
49.3399 3.49906 0.00124394 -0.000344881 -0.00115868 9.03161
50.3367 3.49906 -0.00130363 0.00056456 0.000773586 8.52986
51.3335 3.49906 0.00104935 0.000540699 -0.00167971 6.02108
52.3302 3.49906 -0.00013961 0.00256899 0.00114536 8.52986
53.327 3.49906 0.000608785 9.65573e-05 0.000592489 16.0562
54.3238 3.49906 -0.0006912 0.00102567 -0.000642803 7.02459
55.3205 3.49906 -0.00105381 0.000355997 0.000296994 11.0386
