# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw v_locF v_locFUP c_wallTemp c_wallPE c_UPwallTemp c_UPwallPE
18422300 220.866 -627797 38900.3 100.367 3.524 222.567 -1.19195e+06 219.509 -1.19054e+06
18422400 220.656 -627777 38863.3 169.227 -4.17902 220.205 -1.19194e+06 219.752 -1.19049e+06
18422500 222.198 -628015 39135.1 47.5975 25.9681 217.829 -1.19194e+06 217.983 -1.19049e+06
18422600 220.461 -627775 38829.6 -12.6984 -152.664 217.161 -1.19189e+06 221.899 -1.1905e+06
18422700 221.395 -627864 38994.1 -0.91905 150.712 224.249 -1.19198e+06 222.099 -1.19055e+06
18422800 220.48 -627781 38833.1 114.95 -161.384 221.115 -1.19195e+06 223.893 -1.1905e+06
18422900 220.504 -627740 38836.9 120.664 54.3229 217.749 -1.19192e+06 216.803 -1.19049e+06
18423000 220.601 -627788 38854 -136.723 -129.546 218.785 -1.1919e+06 220.958 -1.19053e+06
18423100 221.161 -627873 38952.6 177.965 161.397 220.939 -1.19193e+06 220.055 -1.19051e+06
18423200 221.194 -627866 38958.1 19.1598 -30.3783 224.052 -1.19197e+06 220.416 -1.19053e+06
18423300 220.182 -627714 38780.2 136.78 9.60072 222.224 -1.19196e+06 215.411 -1.19044e+06
18423400 220.987 -627847 38921.6 -24.5424 66.4356 218.354 -1.19191e+06 215.698 -1.19048e+06
18423500 221.559 -627982 39022.8 -73.4252 117.048 222.91 -1.19195e+06 220.884 -1.1905e+06
18423600 221.656 -627981 39039.4 -159.223 -7.77647 221.711 -1.19195e+06 221.385 -1.19052e+06
18423700 220.539 -627833 38842.9 101.892 -51.0449 218.48 -1.1919e+06 221.634 -1.19051e+06
18423800 221.882 -627961 39079.2 44.2749 151.868 217.683 -1.19192e+06 218.304 -1.19056e+06
18423900 220.596 -627753 38852.5 57.1898 21.9029 220.579 -1.19195e+06 219.499 -1.19053e+06
18424000 221.308 -627916 38977.9 -97.3743 24.9173 224.59 -1.19198e+06 222.495 -1.19052e+06
18424100 221.496 -627959 39011.1 151.635 -1.65287 219.057 -1.1919e+06 222.19 -1.19054e+06
18424200 221.175 -627884 38954.7 95.7424 68.5964 222.103 -1.19193e+06 218.864 -1.19053e+06
18424300 220.522 -627786 38839.5 -62.2494 133.579 218.667 -1.19195e+06 225.321 -1.19053e+06
18424400 221.207 -627925 38960 -43.6859 -47.1795 217.583 -1.1919e+06 217.106 -1.19048e+06
18424500 218.764 -627461 38529.9 -110.327 90.8674 219.384 -1.19191e+06 218.344 -1.19053e+06
18424600 219.472 -627654 38655.1 29.5064 -111.03 219.965 -1.19194e+06 222.644 -1.19049e+06
18424700 219.805 -627695 38713.2 122.89 32.4171 221.119 -1.19192e+06 219.607 -1.19051e+06
18424800 220.274 -627724 38795.8 -68.7133 -13.8234 217.999 -1.19193e+06 215.899 -1.1905e+06
18424900 220.654 -627839 38862.8 -9.87436 96.6359 219.56 -1.19191e+06 221.626 -1.19054e+06
18425000 219.434 -627576 38648.2 -307.179 -51.159 222.754 -1.19198e+06 218.1 -1.19051e+06
18425100 218.966 -627510 38565.7 -88.4251 151.819 219.067 -1.19191e+06 223.936 -1.19057e+06
18425200 220.198 -627738 38782.3 149.01 5.15493 217.454 -1.19188e+06 216.761 -1.19052e+06
18425300 221.265 -627889 38970.3 99.5029 214.449 220.472 -1.19194e+06 220.911 -1.19055e+06
18425400 219.419 -627593 38645 -77.5532 66.37 220.314 -1.19192e+06 217.25 -1.1905e+06
18425500 220.361 -627732 38810.9 142.906 121.788 222.614 -1.19194e+06 215.166 -1.19051e+06
18425600 220.098 -627695 38764.8 56.4928 90.919 224.052 -1.19195e+06 219.502 -1.19054e+06
18425700 219.768 -627683 38706.8 5.43105 276.435 220.353 -1.19195e+06 221.873 -1.19051e+06
