y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
70.272 0.499866 0.00159626 0.000377725 -0.00018147 7.52634
71.2688 0.499866 -0.000297782 0.000509977 0.00053866 5.51932
72.2656 0.499866 2.69038e-05 -0.000184046 -0.00036808 10.5369
73.2623 0.499866 -0.00015934 0.000421877 0.000331951 12.0422
74.2591 0.499866 -0.000401616 0.000163605 -0.00113095 16.558
75.2559 0.499866 -0.000791231 -0.00171405 0.000780743 9.53337
76.2526 0.499866 0.000514623 -0.000570845 -0.000916264 15.0527
77.2494 0.499866 0.000248144 -3.07333e-05 -0.000357307 19.0667
78.2462 0.499866 -0.00065311 0.000519284 -0.000254009 12.5439
79.2429 0.499866 0.000578157 4.05889e-05 -0.000825871 7.02459
80.2397 0.499866 0.0014939 0.00081346 8.16061e-05 8.0281
81.2365 0.499866 -0.000603679 0.000455791 -0.000587904 9.03161
82.2332 0.499866 0.000823517 0.000156706 -0.000513302 15.5544
0.498383 1.4996 -0.000523952 0.00115629 0.000224176 7.02459
1.49515 1.4996 -0.00110233 -0.00103982 -0.000414762 7.02459
2.49192 1.4996 0.000723428 -4.97443e-05 -0.00137948 8.52986
3.48868 1.4996 0.000362181 0.00079897 0.000146278 9.03161
4.48545 1.4996 0.000251354 0.000205217 0.000480194 14.5509
5.48221 1.4996 0.00187064 -0.000379505 0.000664862 11.5404
6.47898 1.4996 0.000266371 -1.17641e-05 -0.000525685 9.03161
7.47575 1.4996 0.000592011 1.30217e-05 -0.000321309 11.5404
8.47251 1.4996 -5.68512e-05 -0.00100671 -0.000525484 8.0281
9.46928 1.4996 -0.00174161 0.00160649 0.000588448 7.02459
10.466 1.4996 0.000947054 0.00164575 -0.00129982 4.51581
11.4628 1.4996 -0.000893198 0.000932917 0.000329077 12.0422
12.4596 1.4996 -0.00121321 -0.00060001 -0.000792526 13.0457
13.4563 1.4996 0.000365044 -0.000972415 0.00160995 8.52986
14.4531 1.4996 0.000840043 0.00101848 0.00146145 8.52986
15.4499 1.4996 0.000241431 0.000127498 -0.000558778 14.5509
16.4466 1.4996 -0.000329449 -0.000484492 -0.000406636 10.5369
17.4434 1.4996 0.000553458 -0.000159256 -0.000584539 9.53337
18.4402 1.4996 0.000611899 -5.11596e-05 -0.000781862 9.03161
19.4369 1.4996 -0.000120876 -0.000350851 -0.000184666 13.0457
20.4337 1.4996 -0.000672851 0.000257702 0.000299642 13.5474
21.4305 1.4996 -0.000341908 -0.000660465 0.000680068 8.52986
22.4272 1.4996 0.00155668 2.65411e-05 0.00108207 8.52986
23.424 1.4996 0.000850684 0.00035454 0.000952744 18.0632
24.4208 1.4996 -0.000559846 0.000773524 -0.00121859 6.02108
25.4175 1.4996 0.00165099 0.00199612 0.00106417 9.53337
26.4143 1.4996 -0.00130653 -0.000436675 0.00115544 4.01405
27.4111 1.4996 0.000179384 0.000996053 -0.000781877 5.51932
28.4078 1.4996 -0.000307308 -5.42671e-05 -0.000209189 14.5509
29.4046 1.4996 0.000565981 0.00130996 -0.000613173 10.5369
30.4014 1.4996 -0.00142965 0.00138946 -0.00101631 8.52986
31.3981 1.4996 0.00173344 -0.000167907 -0.000271634 14.5509
32.3949 1.4996 1.28267e-05 0.000325631 -0.000202643 10.5369
33.3917 1.4996 0.000380363 -0.000193185 0.000653323 10.0351
34.3884 1.4996 2.25823e-05 0.000422511 0.000595573 10.0351
35.3852 1.4996 -0.000649297 -0.000612078 4.66469e-06 8.0281
36.382 1.4996 0.000314032 0.00162186 -0.000668988 11.5404
37.3787 1.4996 6.4313e-05 -0.000714383 -7.74855e-06 11.0386
38.3755 1.4996 -0.00106007 0.00098518 -0.00240289 6.52283
39.3723 1.4996 -0.000260081 -0.000753973 -0.000104309 11.5404
40.369 1.4996 -0.0010002 0.00105662 0.00132222 12.5439
41.3658 1.4996 -0.00137881 -0.000512948 0.000984835 9.03161
42.3626 1.4996 -0.000145976 0.00106848 -0.000494553 9.03161
43.3593 1.4996 0.000927553 -0.000637087 0.000621289 8.52986
44.3561 1.4996 0.000613318 0.000976852 0.000420269 9.03161
45.3529 1.4996 8.34184e-05 0.000482079 9.95091e-05 16.558
46.3496 1.4996 0.000659581 -0.000676058 0.000741495 10.0351
47.3464 1.4996 -0.000367889 0.00162775 0.00034414 8.0281
48.3432 1.4996 -0.000164668 0.000601245 0.000104271 13.0457
49.3399 1.4996 -0.000379419 -0.000889693 0.000814859 14.0492
50.3367 1.4996 -0.000341139 0.000678085 0.000910471 10.0351
51.3335 1.4996 -5.88457e-05 0.000206487 -0.000340688 9.53337
52.3302 1.4996 -0.000256939 -0.000739428 4.70354e-05 9.03161
53.327 1.4996 0.000218351 -0.00131627 0.000503471 12.5439
54.3238 1.4996 -0.000253408 0.000912264 0.000680581 13.0457
55.3205 1.4996 -0.000753903 0.000357807 -0.000997702 7.02459
