binRange along x axis (ANG)	 density (g/L)	 temperature (K)
50.55	973.55	236.021
50.65	1047.67	234.003
50.75	991.872	236.473
50.85	1003.53	241.287
50.95	1019.77	235.863
51.05	1006.45	237.482
51.15	1025.18	248.013
51.25	983.544	242.391
51.35	991.039	235.598
51.45	991.872	239.174
51.55	1029.76	236.837
51.65	1001.03	233.56
51.75	987.292	234.366
51.85	1026.02	237.54
51.95	1026.43	233.051
52.05	991.039	233.012
52.15	1003.53	241.033
52.25	1021.85	234.464
52.35	989.374	231.448
52.45	1006.03	235.975
52.55	1003.11	237.417
52.65	981.046	241.827
52.75	1000.62	236.584
52.85	998.118	233.663
52.95	1028.93	239.767
53.05	996.036	234.039
53.15	1006.03	239.085
53.25	1028.52	240.431
53.35	975.632	233.242
53.45	977.714	239.168
53.55	1040.17	228.793
53.65	996.869	236.324
53.75	1005.61	236.454
53.85	963.973	237.797
53.95	1028.1	238.373
54.05	1005.61	236.748
54.15	993.954	229.861
54.25	984.793	232.1
54.35	1032.68	242.705
54.45	1028.52	236.541
54.55	1017.69	233.973
54.65	1040.59	237.604
54.75	976.882	232.89
54.85	985.21	234.825
54.95	996.869	235.949
55.05	981.046	239.178
55.15	981.462	242.601
55.25	997.702	238.025
55.35	1053.08	231.978
55.45	982.711	238.768
55.55	987.708	232.836
55.65	1023.52	236.111
55.75	1014.36	242.092
55.85	1007.7	235.684
55.95	1056.41	228.801
56.05	993.538	235.337
56.15	997.702	242.737
56.25	993.954	237.161
56.35	999.367	233.899
56.45	1011.03	231.819
56.55	1001.45	240.232
56.65	970.636	233.167
56.75	997.285	236.168
56.85	1017.69	236.225
56.95	987.292	228.766
57.05	983.96	227.99
57.15	991.456	243.078
57.25	1011.86	233.798
57.35	977.714	236.098
57.45	1008.53	230.012
57.55	1001.45	236.503
57.65	959.809	245.644
57.75	1005.2	236.881
57.85	1018.11	241.307
57.95	1001.87	237.915
58.05	1010.61	234.006
58.15	991.039	236.35
58.25	997.285	235.581
58.35	1016.44	237.992
58.45	991.039	240.063
58.55	1025.18	235.872
58.65	1028.93	241.096
58.75	1058.08	235.561
58.85	1037.26	236.561
